subID	phase	f0	vtl	face	word	hands	button	RT 
Max	test	-12	3.6	man_2	Bus	handremote_	2	6.655	
Max	test	-12	0.0	man_5	Hoed	handremote_	1	4.154	
Max	test	-6	0.0	woman_6	Bus	handremote_	1	4.726	
Max	test	-6	1.8	woman_7	Loop	handbang_	2	4.388	
Max	test	-6	1.8	man_4	Bus	handbang_	1	14.434	
Max	test	-6	0.0	man_6	Leeg	handbang_	1	9.885	
Max	test	-6	1.8	man_7	Leeg	handremote_	1	9.517	
Max	test	0	0.0	woman_3	Hoed	handremote_	1	4.462	
Max	test	-12	0.0	man_3	Bus	handremote_	1	4.508	
Max	test	0	1.8	woman_6	Bus	handremote_	1	3.298	
Max	test	-12	3.6	man_3	Vaak	handremote_	1	6.787	
Max	test	0	3.6	woman_4	Leeg	handbang_	1	2.946	
Max	test	-6	1.8	woman_3	Vaak	handbang_	2	5.873	
Max	test	0	3.6	man_1	Hoed	handremote_	1	7.380	
Max	test	0	1.8	man_6	Hoed	handbang_	1	4.075	
Max	test	-6	3.6	woman_4	Loop	handremote_	2	6.764	
Max	test	0	3.6	woman_3	Vaak	handbang_	2	2.305	
Max	test	0	1.8	woman_1	Leeg	handbang_	1	4.077	
Max	test	0	1.8	woman_2	Pen	handbang_	1	3.413	
Max	test	-12	3.6	woman_7	Leeg	handremote_	1	4.203	
Max	test	-12	0.0	woman_3	Pen	handbang_	1	3.437	
Max	test	0	0.0	woman_2	Vaak	handremote_	1	16.460	
Max	test	-6	0.0	man_5	Pen	handremote_	1	6.313	
Max	test	-6	1.8	man_5	Pen	handbang_	1	16.447	
Max	test	0	1.8	woman_6	Loop	handbang_	1	3.571	
Max	test	-6	3.6	man_7	Leeg	handbang_	1	3.520	
Max	test	-6	0.0	woman_2	Loop	handremote_	1	4.079	
Max	test	-6	3.6	woman_1	Pen	handremote_	2	8.437	
Max	test	-12	1.8	woman_4	Bus	handremote_	2	5.531	
